smiles,p_np,group
[2H]C([2H])(O)C([2H])([2H])c1ccc(O)c(O)c1,1,1
[c:1]1([Br:25])[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[C:7](=[O:24])[N:8]([c:16]1[c:17]([F:23])[cH:18][c:19]([Cl:22])[cH:20][cH:21]1)[c:9]1[c:10]([cH:12][c:13]([N+:26](=[O:27])[O-:28])[cH:14][cH:15]1)[O:11]2,0,2
[c:1]1([Cl:19])[cH:2][cH:3][c:4]([OH:18])[c:5]([C:7]([NH:8][c:9]2[c:10]([F:16])[cH:11][c:12]([I:15])[cH:13][cH:14]2)=[O:17])[cH:6]1,1,2
[c:1]1([F:19])[cH:2][cH:3][c:4]([OH:18])[c:5]([C:7]([NH:8][c:9]2[c:10]([F:16])[cH:11][c:12]([Cl:15])[cH:13][cH:14]2)=[O:17])[cH:6]1,1,2
[c:1]1([O:25][CH3:26])[cH:2][c:3]([O:23][CH3:24])[cH:4][c:5](/[C:7]([C:8]([c:9]2[cH:18][c:19]([O:31][CH3:32])[cH:20][c:21]([O:29][CH3:30])[cH:22]2)=[O:10])=[CH:11]\[c:12]2[cH:13][cH:14][c:15]([O:27][CH3:28])[cH:16][cH:17]2)[cH:6]1,0,2
[c:1]1([O:26][CH3:27])[cH:2][c:3]([O:24][CH3:25])[cH:4][c:5](/[C:7]([C:8]([c:9]2[cH:18][c:19]([O:30][CH3:31])[cH:20][c:21]([O:28][CH3:29])[cH:22]2)=[O:10])=[CH:11]\[c:12]2[cH:13][cH:14][c:15]([F:23])[cH:16][cH:17]2)[cH:6]1,0,2
[c:1]1([O:26][CH3:27])[cH:2][c:3]([O:24][CH3:25])[cH:4][c:5](/[C:7]([C:8]([c:9]2[cH:18][c:19]([O:30][CH3:31])[cH:20][c:21]([O:28][CH3:29])[cH:22]2)=[O:10])=[CH:11]\[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:6]1,0,2
[c:1]12[c:2]([c:3]([OH:13])[c:4]3[c:5]([cH:6]1)[o:17][c:16](-[c:19]1[cH:20][cH:21][cH:22][cH:23][c:24]1[Br:25])[c:15]([CH2:26][CH2:27][C:28]([CH3:29])=[O:30])[c:14]3=[O:18])[CH:10]=[CH:9][C:8]([CH3:11])([CH3:12])[O:7]2,0,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][c:16]([CH3:30])[cH:17][cH:18]1)[c:9]([CH2:25][CH2:26][C:27]([CH3:28])=[O:29])[c:8]3=[O:12])[CH:22]=[CH:21][C:20]([CH3:23])([CH3:24])[O:19]2,0,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][c:16]([O:30][CH3:31])[cH:17][c:18]1[O:19][CH3:29])[c:9]([CH2:20][CH2:21][C:22]([OH:32])([CH3:33])[CH3:34])[c:8]3=[O:12])[CH:26]=[CH:25][C:24]([CH3:27])([CH3:28])[O:23]2,1,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Br:19])[c:9]([CH2:20][CH2:21][C:22]([CH3:23])([OH:24])[CH3:31])[c:8]3=[O:12])[CH:28]=[CH:27][C:26]([CH3:29])([CH3:30])[O:25]2,1,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Br:30])[c:9]([CH2:19][CH2:20][C:21]([CH3:28])([OH:29])[c:31]1[cH:32][cH:33][c:34]([F:37])[cH:35][cH:36]1)[c:8]3=[O:12])[CH:25]=[CH:24][C:23]([CH3:26])([CH3:27])[O:22]2,1,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:19])[c:9]([CH2:20][CH2:21][C:22]([CH3:23])([OH:24])[CH3:31])[c:8]3=[O:12])[CH:28]=[CH:27][C:26]([CH3:29])([CH3:30])[O:25]2,0,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:25])[c:9]([CH2:26][CH2:27][CH:28]([CH3:29])[OH:30])[c:8]3=[O:12])[CH:22]=[CH:21][C:20]([CH3:23])([CH3:24])[O:19]2,1,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:30])[c:9]([CH2:19][CH2:20][C:21]([CH3:28])([OH:29])[c:31]1[cH:32][cH:33][c:34]([F:37])[cH:35][cH:36]1)[c:8]3=[O:12])[CH:25]=[CH:24][C:23]([CH3:26])([CH3:27])[O:22]2,1,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[F:30])[c:9]([CH2:25][CH2:26][C:27]([CH3:28])=[O:29])[c:8]3=[O:12])[CH:22]=[CH:21][C:20]([CH3:23])([CH3:24])[O:19]2,0,3
[c:1]12[c:2]([c:3]([OH:7])[c:4]3[c:5]([cH:6]1)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[c:9]([CH2:19]/[CH:26]=[C:27](\[CH3:28])[CH3:29])[c:8]3=[O:12])[CH:23]=[CH:22][C:21]([CH3:24])([CH3:25])[O:20]2,1,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:21]=[CH:22][C:23]([CH3:25])([CH3:26])[O:24]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Br:19])[c:9]([CH2:20][CH2:27][C:28]([CH3:29])=[O:30])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:21]=[CH:22][C:23]([CH3:25])([CH3:26])[O:24]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:19])[c:9]([CH2:20][CH2:27][C:28]([CH3:29])=[O:30])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:25]=[CH:26][C:27]([CH3:29])([CH3:30])[O:28]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Br:19])[c:9]([CH2:20][CH2:21][CH:22]([CH3:23])[OH:24])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:25]=[CH:26][C:27]([CH3:29])([CH3:30])[O:28]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:19])[c:9]([CH2:20][CH2:21][CH:22]([CH3:23])[OH:24])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:26]=[CH:27][C:28]([CH3:30])([CH3:31])[O:29]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Br:19])[c:9]([CH2:20][CH2:21][C:22]([CH3:23])([OH:24])[CH3:25])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:26]=[CH:27][C:28]([CH3:30])([CH3:31])[O:29]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[Cl:19])[c:9]([CH2:20][CH2:21][C:22]([CH3:23])([OH:24])[CH3:25])[c:8]3=[O:12],0,4
[c:1]12[cH:2][c:3]([OH:7])[c:4]3[c:5]([c:6]1[CH:27]=[CH:28][C:29]([CH3:32])([CH3:33])[O:30]2)[o:11][c:10](-[c:13]1[cH:14][cH:15][c:16]([O:22][CH3:31])[cH:17][c:18]1[O:19][CH3:21])[c:9]([CH2:20][CH2:23][C:24]([CH3:25])=[O:26])[c:8]3=[O:12],0,4
